PDB_ID	H_chain_ID	L_chain_ID	Ag_chain_ID(s)	Affinity_KD(nM)	Affinity_method	Affinity_temp(K)	Remark
8gpx	H	L	E	0.588	SPR	298	N.A.
8gpy	E	N.A.	A	1.59	SPR	N.A.	N.A.
8gq1	H	L	C	0.23	SPR	293	N.A.
8gq5	a	N.A.	A	N.A.	N.A.	N.A.	N.A.
8grr	H	L	2	N.A.	N.A.	N.A.	N.A.
8gs9	H	K	A	0.0026	SPR	N.A.	8GS9-RBD has N460+F486;regarded as WT RBD
8gsb	H	K	A	N.A.	N.A.	N.A.	N.A.
8gto	H	L	A	N.A.	N.A.	N.A.	interesting paper summarizing Abs
8gtp	H	L	A	N.A.	N.A.	N.A.	N.A.
8gtq	H	L	A	N.A.	N.A.	N.A.	N.A.
8gx9	I	L	A	N.A.	N.A.	N.A.	N.A.
8gx9	P	M	A	N.A.	N.A.	N.A.	N.A.
8gy5	H	L	P	N.A.	N.A.	N.A.	N.A.
8gye	E	F	A	N.A.	N.A.	N.A.	N.A.
8gz5	B	N.A.	A	0.37	BLI	303	N.A.
8gzz	E	D	A	0.0901	BLI	N.A.	important KD data paper
8h00	E	D	A	0.0376	BLI	N.A.	N.A.
8h01	E	D	A	0.0376	BLI	N.A.	N.A.
8h07	M	P	A	20.4	BLI	N.A.	N.A.
8h07	Q	R	A	56	BLI	N.A.	N.A.
8h08	L	P	A	4.31	BLI	N.A.	N.A.
8h08	Q	R	A	18.4	BLI	N.A.	N.A.
8h3x	A	N.A.	C	11.5	ITC	298	important KD data paper
8h3y	F	N.A.	A	0.828	ITC	298	N.A.
8h5t	B	N.A.	A	1.38	SPR	N.A.	N.A.
8h5u	B	N.A.	A	0.213	SPR	N.A.	N.A.
8h63	B	N.A.	A	0.696	SPR	N.A.	N.A.
8h64	B	N.A.	A	0.194	SPR	N.A.	N.A.
8h7l	F	I	A	N.A.	N.A.	N.A.	N.A.
8h7z	F	I	A	N.A.	N.A.	N.A.	N.A.
8h91	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8hbg	E	N.A.	C	N.A.	N.A.	N.A.	N.A.
8hbi	E	N.A.	A	N.A.	N.A.	N.A.	N.A.
8hbj	F	N.A.	A	N.A.	N.A.	N.A.	N.A.
8hbj	E	N.A.	C	N.A.	N.A.	N.A.	N.A.
8hbv	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8hbw	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8hc2	H	L	B	7.02	BLI	N.A.	important KD data paper
8hc3	H	L	B	7.02	BLI	N.A.	N.A.
8hc4	D	E	A	N.A.	N.A.	N.A.	N.A.
8hc4	H	L	B	7.02	BLI	N.A.	N.A.
8hc5	D	E	C	N.A.	N.A.	N.A.	N.A.
8hc5	H	L	C	7.02	BLI	N.A.	N.A.
8hc6	H	L	C	7.02	BLI	N.A.	N.A.
8hc7	H	L	C	7.02	BLI	N.A.	N.A.
8hc8	H	L	C	17.13	BLI	N.A.	N.A.
8hc9	H	L	C	17.13	BLI	N.A.	N.A.
8hca	H	L	C	13.12	BLI	N.A.	N.A.
8hcb	F	G	A	13.12	BLI	N.A.	N.A.
8heb	E	D	A	N.A.	N.A.	N.A.	N.A.
8hec	E	D	A	N.A.	N.A.	N.A.	N.A.
8hed	G	F	B	N.A.	N.A.	N.A.	N.A.
8hes	H	L	C	0.00542	BLI	N.A.	N.A.
8hgl	H	L	A	0.0208	BLI	N.A.	N.A.
8hgm	C	D	B	0.0208	BLI	N.A.	N.A.
8hhx	F	G	B	N.A.	BLI	N.A.	KD not determined due to avidity effects
8hhy	H	L	A	N.A.	BLI	N.A.	KD not determined due to avidity effects
8hhz	G	H	A	N.A.	BLI	N.A.	KD not determined due to avidity effects
8hii	H	L	A	N.A.	N.A.	N.A.	N.A.
8hij	H	L	A	N.A.	N.A.	N.A.	N.A.
8hik	H	L	A	N.A.	N.A.	N.A.	N.A.
8hit	A	B	C	0.206	SPR	298	N.A.
8hj5	C	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8hj5	E	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8hlb	B	C	A	5.6	SPR	298	KD for TR109;structure for Ab-Bp109-92;important KD data paper
8hlb	D	E	A	4	SPR	298	KD for TR92;structure for Ab-Bp109-92
8hn1	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
8hn6	A	B	E;F	1.37	BLI	N.A.	N.A.
8hn7	B	A	E	5.29	BLI	N.A.	N.A.
8hnn	N	N.A.	R	N.A.	N.A.	N.A.	N.A.
8hp9	H	L	A	<0.001	BLI	N.A.	N.A.
8hp9	M	N	A	0.167	BLI	N.A.	N.A.
8hpf	H	L	A	<0.001	BLI	N.A.	N.A.
8hpf	M	N	A	0.167	BLI	N.A.	N.A.
8hpj	B	C	A	N.A.	N.A.	N.A.	N.A.
8hpk	H	L	A	N.A.	N.A.	N.A.	N.A.
8hpq	H	L	A	0.00547	BLI	N.A.	N.A.
8hpq	M	N	A	0.407	BLI	N.A.	N.A.
8hpu	H	L	A	0.00547	BLI	N.A.	N.A.
8hpu	M	N	A	0.407	BLI	N.A.	N.A.
8hpv	H	L	A	0.0435	BLI	N.A.	N.A.
8hpv	M	N	A	0.00543	BLI	N.A.	N.A.
8hq7	H	L	A	0.0435	BLI	N.A.	N.A.
8hq7	M	N	A	0.00543	BLI	N.A.	N.A.
8hr2	B	N.A.	A	5.07	BLI	N.A.	important KD data paper
8hr2	C	N.A.	A	1.76	BLI	N.A.	N.A.
8hrd	D	F	A	N.A.	N.A.	N.A.	N.A.
8hrd	O	P	A	N.A.	N.A.	N.A.	N.A.
8hs2	B	C	R	N.A.	N.A.	N.A.	N.A.
8hsc	S	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8hsc	F	E	R	N.A.	N.A.	N.A.	N.A.
8hws	D	E	A	7.4	SPR	298	important KD data paper
8hws	H	L	A	195.3	SPR	298	N.A.
8hws	I	J	A	13.5	SPR	298	N.A.
8hwt	D	E	A	17.9	SPR	298	N.A.
8hwt	H	L	A	4.6	SPR	298	N.A.
8i3s	H	L	A	0.0026	BLI	N.A.	N.A.
8i3u	H	L	A	0.0031	BLI	N.A.	N.A.
8i4e	C	N.A.	A	4.09	BLI	N.A.	N.A.
8i4f	C	N.A.	A	4.09	BLI	N.A.	N.A.
8i4g	C	N.A.	A	2.95	BLI	N.A.	N.A.
8i4h	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8i5h	H	L	R	3.5	BLI	N.A.	N.A.
8i5i	H	L	R	45	BLI	N.A.	N.A.
8i5l	D	N.A.	A	4.58	ELISA	310	N.A.
8idi	C	N.A.	B	N.A.	N.A.	N.A.	N.A.
8idm	A	N.A.	D	N.A.	N.A.	N.A.	N.A.
8idm	B	N.A.	D	N.A.	N.A.	N.A.	N.A.
8idn	H	L	A	0.107	SPR	N.A.	N.A.
8ido	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8iee	C	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8ifn	A	N.A.	B	N.A.	N.A.	N.A.	N.A.
8il3	B	A	C	2.55	SPR	N.A.	N.A.
8ilx	C	N.A.	A	13.7	ITC	298	KD = 30.6 nM by BLI
8im0	B	N.A.	A	199	ITC	298	KD = 36.8 nM by BLI
8im1	B	N.A.	A	289	ITC	298	KD = 12.9 nM by BLI
8ipc	H	L	A	N.A.	N.A.	N.A.	N.A.
8itf	N	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8itf	S	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8itu	E	D	A	0.0376	BLI	N.A.	N.A.
8iuk	E	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8iuk	N	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8ium	E	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8ium	N	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8iuy	B	C	A	N.A.	N.A.	N.A.	N.A.
8iuz	B	C	A	N.A.	N.A.	N.A.	N.A.
8iv0	B	C	A	N.A.	N.A.	N.A.	N.A.
8iv4	A	B	G	0.4	SPR	N.A.	N.A.
8iv4	H	L	G	0.004	SPR	N.A.	N.A.
8iv5	A	B	G	N.A.	N.A.	N.A.	N.A.
8iv5	H	L	G	0.4	SPR	N.A.	N.A.
8iv8	C	D	G	N.A.	N.A.	N.A.	N.A.
8iv8	H	L	G	0.004	SPR	N.A.	N.A.
8iva	C	E	G	0.7	SPR	N.A.	KD from DOI: 10.1016/j.celrep.2022.110862
8iva	H	L	G	0.004	SPR	N.A.	N.A.
8iw9	N	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8iw9	S	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8ix3	H	L	G	2.6	SPR	310	N.A.
8j1n	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8j1q	B	A	C	N.A.	N.A.	N.A.	N.A.
8j1t	H	K	F	10.8	BLI	303	N.A.
8j1v	H	K	A	10.8	BLI	303	N.A.
8j26	B	A	C	N.A.	N.A.	N.A.	N.A.
8j5j	E	N.A.	A	0.2	SPR	298	N.A.
8j7e	C	D	E	N.A.	N.A.	N.A.	N.A.
8j7t	E	C	A;B	N.A.	N.A.	N.A.	N.A.
8j7u	F	D	B	N.A.	N.A.	N.A.	N.A.
8j7v	E	C	A;B	N.A.	N.A.	N.A.	N.A.
8j7w	E	C	A	N.A.	N.A.	N.A.	N.A.
8j7x	E	C	A	N.A.	N.A.	N.A.	N.A.
8j7y	E	C	A;B	N.A.	N.A.	N.A.	N.A.
8j80	E	C	A	N.A.	N.A.	N.A.	N.A.
8j9k	D	B	C	N.A.	N.A.	N.A.	N.A.
8j9o	B	D	A	N.A.	N.A.	N.A.	N.A.
8ja5	H	L	A	N.A.	N.A.	N.A.	N.A.
8jel	A	B	E	0.21	SPR	298	N.A.
8jen	A	B	I	0.21	SPR	298	N.A.
8jeo	B	C	A	0.193	SPR	298	N.A.
8jg5	C	D	A;B	3.77	ELISA	310	N.A.
8jh7	H	L	D	N.A.	N.A.	N.A.	N.A.
8jhc	H	L	R	N.A.	N.A.	N.A.	N.A.
8jlw	H	L	A	0.0834	BLI	298	N.A.
8jlx	H	L	A	0.0324	BLI	298	N.A.
8jnk	I	M	A	N.A.	N.A.	N.A.	N.A.
8jnr	H	L	D	N.A.	N.A.	N.A.	N.A.
8jtw	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8jtx	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8jty	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8jyr	H	L	A	0.3	ELISA	303	N.A.
8k0c	E	F	A	N.A.	N.A.	N.A.	N.A.
8k0d	E	F	A	N.A.	N.A.	N.A.	N.A.
8k3c	C	D	B	3.6	BLI	303	N.A.
8k3k	D	N.A.	E	7.65	BLI	298	N.A.
8k45	E	N.A.	A	0.68	BLI	N.A.	N.A.
8k46	E	N.A.	A	0.001	BLI	N.A.	N.A.
8k47	I	N.A.	C	0.001	BLI	N.A.	N.A.
8k5g	H	L	A	N.A.	N.A.	N.A.	N.A.
8kae	N	N.A.	R	N.A.	N.A.	N.A.	N.A.
8khc	H	J	A	N.A.	N.A.	N.A.	N.A.
8khd	H	J	C	N.A.	N.A.	N.A.	N.A.
8odx	H	L	A	N.A.	N.A.	N.A.	N.A.
8oi2	B	N.A.	A	6.6	yeast surface display	293	N.A.
8ol9	B	A	H	N.A.	N.A.	N.A.	N.A.
8omu	B	N.A.	A	75	BLI	N.A.	N.A.
8omz	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8ont	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8oo1	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8opr	B	N.A.	A	1.9	BLI	N.A.	N.A.
8opr	C	N.A.	A	2.2	BLI	N.A.	N.A.
8oq3	C	N.A.	A;D	N.A.	N.A.	N.A.	N.A.
8oud	D	N.A.	A	360	ITC	298	N.A.
8oww	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8oxv	B	C	A	N.A.	N.A.	N.A.	N.A.
8oxw	B	C	A	N.A.	N.A.	N.A.	N.A.
8oxx	B	C	A	N.A.	N.A.	N.A.	N.A.
8oxy	B	C	A	N.A.	N.A.	N.A.	N.A.
8oz3	H	L	D	0.1	BLI	293	N.A.
8ozb	C	N.A.	E	0.5	BLI	298	N.A.
8p7w	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8p7w	D	G	A;B	N.A.	N.A.	N.A.	N.A.
8p8a	D	C	A;B	N.A.	N.A.	N.A.	N.A.
8p8a	Z	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8p8j	Z	N.A.	A	N.A.	N.A.	N.A.	N.A.
8p8j	D	C	A;B	N.A.	N.A.	N.A.	N.A.
8pe9	H	L	A	0.39	BLI	N.A.	N.A.
8pg0	H	L	A	N.A.	N.A.	N.A.	N.A.
8phw	H	L	A	N.A.	N.A.	N.A.	N.A.
8pih	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8pih	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8pij	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8piz	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8pjp	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8pkc	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8pnl	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8pnu	E	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8pnv	E	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8pq2	H	L	C	N.A.	N.A.	N.A.	N.A.
8pvb	O	N.A.	A	N.A.	N.A.	N.A.	N.A.
8pwh	B	A	E	0.89	mass photometry	N.A.	N.A.
8pwh	D	C	E	2.04	mass photometry	N.A.	N.A.
8pyr	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
8q7s	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8q7s	C	N.A.	A	0.01	SPR	293	N.A.
8q93	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8q93	C	N.A.	A	0.02	SPR	293	N.A.
8q94	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8q94	C	N.A.	A	0.35	SPR	293	N.A.
8q95	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8q95	C	N.A.	A	0.04	SPR	293	N.A.
8qf4	E	N.A.	A	N.A.	N.A.	N.A.	N.A.
8qf5	A	N.A.	B	N.A.	N.A.	N.A.	N.A.
8qot	B	N.A.	A	56	grating coupled interferometry	N.A.	N.A.
8qpr	E	D	A	0.0787	BLI	303	N.A.
8qq0	E	D	A	0.316	BLI	303	N.A.
8qrf	A	B	E	N.A.	N.A.	N.A.	N.A.
8qrf	H	L	E	N.A.	N.A.	N.A.	N.A.
8qrg	A	N.A.	E	N.A.	N.A.	N.A.	N.A.
8qrg	H	L	E	N.A.	N.A.	N.A.	N.A.
8qtd	H	L	A	N.A.	N.A.	N.A.	N.A.
8qzr	H	L	C	N.A.	N.A.	N.A.	N.A.
8r1c	H	L	A	N.A.	N.A.	N.A.	N.A.
8r1d	H	L	A	N.A.	N.A.	N.A.	N.A.
8r4b	B	N.A.	A	4600	fluorescence anisotropy titration	298	N.A.
8r4b	C	N.A.	A	700	fluorescence anisotropy titration	298	N.A.
8r4c	C	N.A.	A	700	fluorescence anisotropy titration	298	N.A.
8r4d	B	N.A.	A	4600	fluorescence anisotropy titration	298	N.A.
8r4o	B	N.A.	A	280	SPR	N.A.	N.A.
8r4q	B	N.A.	A	280	SPR	N.A.	N.A.
8r4u	B	N.A.	A	280	SPR	N.A.	N.A.
8r80	H	L	R	N.A.	N.A.	N.A.	N.A.
8r8d	H	L	A;B	N.A.	N.A.	N.A.	N.A.
8r8k	H	L	A	N.A.	N.A.	N.A.	N.A.
8rcq	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8ruu	H	L	X;Y	N.A.	N.A.	N.A.	N.A.
8s9g	H	L	E	70	SPR	298	N.A.
8san	C	D	A	N.A.	N.A.	N.A.	N.A.
8saq	C	D	A	N.A.	N.A.	N.A.	N.A.
8sar	C	D	A	N.A.	N.A.	N.A.	N.A.
8sas	C	D	A	N.A.	N.A.	N.A.	N.A.
8sav	C	D	A	N.A.	N.A.	N.A.	N.A.
8saw	C	D	A	N.A.	N.A.	N.A.	N.A.
8sax	C	D	A	N.A.	N.A.	N.A.	N.A.
8say	C	D	A	N.A.	N.A.	N.A.	N.A.
8sb0	C	D	A	N.A.	N.A.	N.A.	N.A.
8sb1	C	D	A	N.A.	N.A.	N.A.	N.A.
8sb2	C	D	A	N.A.	N.A.	N.A.	N.A.
8sb3	C	D	A	N.A.	N.A.	N.A.	N.A.
8sb5	C	D	A	N.A.	N.A.	N.A.	N.A.
8sbb	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8scx	H	L	C	N.A.	N.A.	N.A.	N.A.
8sdf	H	L	Z	0.48	BLI	N.A.	N.A.
8sdg	G	I	C	0.42	BLI	N.A.	N.A.
8sgi	H	L	A	N.A.	N.A.	N.A.	N.A.
8sgj	H	L	A	N.A.	N.A.	N.A.	N.A.
8sgn	H	L	G	N.A.	N.A.	N.A.	N.A.
8sgo	J	I	B	N.A.	N.A.	N.A.	N.A.
8sgt	H	L	A	N.A.	N.A.	N.A.	N.A.
8si9	J	I	B	N.A.	N.A.	N.A.	N.A.
8sic	H	L	G	N.A.	N.A.	N.A.	N.A.
8sid	J	I	B	N.A.	N.A.	N.A.	N.A.
8siq	H	L	A	0.43	BLI	N.A.	N.A.
8siq	M	N	A	N.A.	N.A.	N.A.	N.A.
8sir	H	L	A	0.49	BLI	N.A.	N.A.
8sis	H	L	A	0.43	BLI	N.A.	N.A.
8sit	H	L	A	0.43	BLI	N.A.	N.A.
8sk5	B	N.A.	A	0.22	SPR	298	N.A.
8slb	H	L	A	1.5	SPR	N.A.	N.A.
8sm1	H	L	G	N.A.	N.A.	N.A.	N.A.
8smi	H	L	A	N.A.	N.A.	N.A.	N.A.
8smk	B	C	A	1	BLI	N.A.	N.A.
8sml	C	B	A	N.A.	BLI	N.A.	N.A.
8smm	H	L	A	N.A.	N.A.	N.A.	N.A.
8smn	H	L	A	N.A.	N.A.	N.A.	N.A.
8smp	H	L	A	N.A.	N.A.	N.A.	N.A.
8smt	H	L	E	N.A.	N.A.	N.A.	N.A.
8snc	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8snc	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8snd	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8snd	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8sne	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
8sne	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8so3	H	L	D	N.A.	N.A.	N.A.	N.A.
8sos	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
8sr0	H	L	D	N.A.	N.A.	N.A.	N.A.
8ssz	I	H	B	N.A.	N.A.	N.A.	N.A.
8st0	I	H	B	N.A.	N.A.	N.A.	N.A.
8st3	I	H	B	N.A.	N.A.	N.A.	N.A.
8st4	I	H	B	N.A.	N.A.	N.A.	N.A.
8suo	H	L	A	N.A.	N.A.	N.A.	N.A.
8suo	I	M	A	N.A.	N.A.	N.A.	N.A.
8sxi	C	D	A	N.A.	N.A.	N.A.	N.A.
8sxp	H	L	C	0.61	SPR	298	N.A.
8szy	A	B	T	N.A.	N.A.	N.A.	N.A.
8szy	H	L	T	0.11	SPR	N.A.	N.A.
8t03	C	D	A	N.A.	N.A.	N.A.	N.A.
8t04	C	D	A	N.A.	N.A.	N.A.	N.A.
8t06	C	D	A	N.A.	N.A.	N.A.	N.A.
8t07	C	D	A	N.A.	N.A.	N.A.	N.A.
8t4a	H	L	A	0.038	SPR	N.A.	N.A.
8t4a	C	D	A;B;I	N.A.	N.A.	N.A.	N.A.
8t5c	H	L	A;a	N.A.	N.A.	N.A.	N.A.
8t5c	D	N.A.	A;B;C	N.A.	N.A.	N.A.	N.A.
8t7a	D	E	a	4.2	SPR	N.A.	N.A.
8t7h	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
8t8m	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
8t9b	F	H	I;J	N.A.	N.A.	N.A.	N.A.
8t9z	H	L	A	1.2	SPR	298	N.A.
8tao	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
8tbq	H	L	P	N.A.	N.A.	N.A.	N.A.
8tco	E	D	A;B	N.A.	N.A.	N.A.	N.A.
8tco	F	G	C	N.A.	N.A.	N.A.	N.A.
8tea	H	G	C	N.A.	N.A.	N.A.	N.A.
8tea	F	I	C;D	N.A.	N.A.	N.A.	N.A.
8tfh	H	L	B	0.25	ELISA	N.A.	N.A.
8tfl	H	L	B	1.1	ELISA	N.A.	N.A.
8tfn	H	L	B	1.8	SPR	N.A.	N.A.
8thn	A	B	C	N.A.	N.A.	N.A.	N.A.
8tlm	A	B	C	0.0284	scatchard analysis	N.A.	N.A.
8tma	H	L	A	36.89	SPR	N.A.	Geometric mean of two replicates
8tng	J	N.A.	A	N.A.	N.A.	N.A.	N.A.
8tnh	H	N.A.	A;C	N.A.	N.A.	N.A.	N.A.
8tnl	H	L	I	N.A.	N.A.	N.A.	N.A.
8tnn	H	G	C	0.15	BLI	303	Ab-gp42 KD = 0.54 nM
8tnt	E	D	A;B	2.05	BLI	303	Ab-gH/gL KD = 1.16 nM
8tnt	G	F	C	2.58	BLI	303	Ab-gp42 KD = 3.32 nM
8toa	H	L	C	N.A.	N.A.	N.A.	N.A.
8too	B	A	I	10.8	BLI	303	Ab-gH/gL/gp42 KD = 57.9 nM
8tp2	H	L	C	N.A.	N.A.	N.A.	N.A.
8tp3	H	L	C	N.A.	N.A.	N.A.	N.A.
8tp4	H	L	C	N.A.	N.A.	N.A.	N.A.
8tp5	H	L	A	N.A.	N.A.	N.A.	N.A.
8tp6	H	L	A	N.A.	N.A.	N.A.	N.A.
8tp7	H	L	C	N.A.	N.A.	N.A.	N.A.
8tp9	H	L	A;B	101	BLI	N.A.	N.A.
8tpa	H	L	A;B;C	0.297	BLI	N.A.	N.A.
8tq7	H	L	A	N.A.	N.A.	N.A.	N.A.
8tq8	H	L	A	N.A.	N.A.	N.A.	N.A.
8tqa	H	L	A	N.A.	N.A.	N.A.	N.A.
8tqi	I	J	A	N.A.	N.A.	N.A.	N.A.
8tqi	H	L	B	N.A.	N.A.	N.A.	N.A.
8tqk	H	L	A	N.A.	N.A.	N.A.	N.A.
8trs	A	G	D	N.A.	N.A.	N.A.	N.A.
8trt	B	C	D	N.A.	N.A.	N.A.	N.A.
8ttw	M	N	A	N.A.	N.A.	N.A.	N.A.
8ttw	C	D	A;B	N.A.	N.A.	N.A.	N.A.
8tui	H	L	A	2.8	BLI	298	KD = 3.5 nM by SPR
8tvh	F	D	A	1.3	BLI	303	N.A.
8tw3	A	N.A.	F	0.032	SPR	N.A.	N.A.
8tw3	B	N.A.	F;X	<0.165	SPR	N.A.	N.A.
8ty1	C	B	A	N.A.	N.A.	N.A.	N.A.
8tzu	E	N.A.	A	N.A.	N.A.	N.A.	N.A.
8tzu	G	N.A.	A	N.A.	N.A.	N.A.	N.A.
8u1c	H	L	A	N.A.	N.A.	N.A.	N.A.
8u1d	I	J	A	N.A.	N.A.	N.A.	N.A.
8u1q	H	L	A	N.A.	N.A.	N.A.	N.A.
8u1s	H	L	A	N.A.	N.A.	N.A.	N.A.
8u2c	D	C	A;B	N.A.	N.A.	N.A.	N.A.
8u4q	H	L	R	N.A.	N.A.	N.A.	N.A.
8u4r	H	L	R	N.A.	N.A.	N.A.	N.A.
8u4s	H	L	R	N.A.	N.A.	N.A.	N.A.
8udg	H	L	A	N.A.	N.A.	N.A.	N.A.
8uf7	B	A	C	N.A.	N.A.	N.A.	N.A.
8uky	H	L	C	10	SPR	298	N.A.
8uwa	H	G	A	19.2	BLI	298	N.A.
8v52	F	E	A	3.2	SPR	298	N.A.
8v7o	H	L	A	N.A.	N.A.	N.A.	N.A.
8vrs	D	N.A.	A	2	ITC	296	N.A.
8vyg	A	B	R	N.A.	N.A.	N.A.	N.A.
8vzn	B	C	A	N.A.	N.A.	N.A.	N.A.
8vzo	B	D	A	N.A.	N.A.	N.A.	N.A.
8w0v	H	L	C	N.A.	N.A.	N.A.	N.A.
8w0w	H	L	C	N.A.	N.A.	N.A.	N.A.
8w0x	H	L	C	N.A.	N.A.	N.A.	N.A.
8w0y	H	L	C	N.A.	N.A.	N.A.	N.A.
8w9j	H	L	C	70	SPR	298	N.A.
8wc6	N	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8wc6	S	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
8wdt	C	B	A	N.A.	N.A.	N.A.	N.A.
8wej	H	L	B	N.A.	N.A.	N.A.	N.A.
8wnp	B	A	E;F	N.A.	N.A.	N.A.	N.A.
8wnu	B	A	E;F	N.A.	N.A.	N.A.	N.A.
8wo4	B	A	E;F	N.A.	N.A.	N.A.	N.A.
8wsq	A	B	F	N.A.	N.A.	N.A.	N.A.
8x0t	H	L	A	14.21	SPR	N.A.	N.A.
8x2l	H	L	B	N.A.	N.A.	N.A.	N.A.
8xc4	C	D	A;B	N.A.	N.A.	N.A.	N.A.
8xe9	A	B	C	N.A.	N.A.	N.A.	N.A.
8xi6	D	E	A	N.A.	N.A.	N.A.	N.A.
8y6h	C	B	A	N.A.	N.A.	N.A.	N.A.
8y6i	C	B	A	N.A.	N.A.	N.A.	N.A.
8yx1	H	L	C;R	0.69	SPR	N.A.	N.A.
8yx9	H	L	A	3.4	SPR	N.A.	N.A.
8zby	H	D	A	0.22	BLI	N.A.	N.A.
8zbz	E	D	A	0.059	BLI	N.A.	N.A.
8zc0	H	G	A	0.059	BLI	N.A.	N.A.
8zc1	E	C	B	0.059	BLI	N.A.	N.A.
8zc4	H	G	A	2.96	BLI	N.A.	N.A.
8zc5	F	D	A	2.96	BLI	N.A.	N.A.
9axf	H	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
9axf	N	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
