PDB_ID	H_chain_ID	L_chain_ID	Ag_chain_ID(s)	Affinity_KD(nM)	Affinity_method	Affinity_temp(K)	Remark
7u9w	H	N.A.	A	1.06	BLI	N.A.	N.A.
7ua2	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7ua2	H	N.A.	A	2.5	BLI	N.A.	N.A.
7ua8	H	N.A.	A	0.31	BLI	N.A.	N.A.
7uap	H	L	A	N.A.	N.A.	N.A.	N.A.
7uaq	H	L	A	N.A.	N.A.	N.A.	N.A.
7uar	H	L	B	N.A.	N.A.	N.A.	N.A.
7ubr	E	F	C	N.A.	N.A.	N.A.	N.A.
7ubs	H	N.A.	A	0.58	BLI	N.A.	N.A.
7ubx	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
7uby	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7uc8	H	N.A.	A	1.61	BLI	N.A.	N.A.
7ucf	D	E	G	N.A.	N.A.	N.A.	N.A.
7ucf	H	L	G	N.A.	N.A.	N.A.	N.A.
7ucg	D	E	G	N.A.	N.A.	N.A.	N.A.
7ucg	H	L	G	N.A.	N.A.	N.A.	N.A.
7ucq	H	N.A.	A	0.85	BLI	N.A.	N.A.
7ucy	E	F	C	N.A.	N.A.	N.A.	N.A.
7udg	H	L	A	N.A.	N.A.	N.A.	N.A.
7udh	E	F	C	N.A.	N.A.	N.A.	N.A.
7uds	H	L	C;c	3.52	BLI	N.A.	N.A.
7ue0	H	L	A	N.A.	N.A.	N.A.	N.A.
7ue9	H	L	C	12.9	SPR	298	N.A.
7ufh	H	L	A	N.A.	N.A.	N.A.	N.A.
7ufw	H	N.A.	A	N.A.	N.A.	N.A.	N.A.
7ugn	G	J	A	N.A.	N.A.	N.A.	N.A.
7ugn	M	P	A	N.A.	N.A.	N.A.	N.A.
7ugo	G	J	A	N.A.	N.A.	N.A.	N.A.
7ugo	M	P	A	N.A.	N.A.	N.A.	N.A.
7ugp	G	J	A	N.A.	N.A.	N.A.	N.A.
7ugp	M	P	A	N.A.	N.A.	N.A.	N.A.
7ugq	M	P	A	N.A.	N.A.	N.A.	N.A.
7ugq	H	K	B	N.A.	N.A.	N.A.	N.A.
7uh8	H	L	A	N.A.	N.A.	N.A.	N.A.
7ui1	H	N.A.	A	0.34	BLI	N.A.	N.A.
7uia	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
